Question_ID,Question,Status_Id,creation_date,created_by,user_id,pdf_uploaded_id,is_public,notes,tags,isdeleted,userid,ispublic,isdeleted
1,What is Indications,NULL,06/12/2019,NULL,4,1,0,Indications,sds,1,NULL,NULL,NULL
2,What are Test principles,NULL,06/12/2019,NULL,1,1,0,Test Principles,"sds,jhgh",NULL,NULL,NULL,NULL
3,What is MPO?,NULL,06/12/2019,NULL,4,1,0,MPO,MPO,NULL,NULL,NULL,NULL
4,ANCA ,NULL,06/12/2019,NULL,1,1,0,ANCA,"AN,CA",NULL,NULL,NULL,NULL
5,What is Lorem,NULL,11/12/2019,NULL,1,3,0,Lorem,adipiscing,NULL,NULL,NULL,NULL
6,What is Mauris,NULL,11/12/2019,NULL,1,3,0,dolor,"adipiscing,Prorin,vulputate",NULL,NULL,NULL,NULL
7,What is Indications?,NULL,13/12/2019,NULL,1,1,0,Test,"test,test,test1",NULL,NULL,NULL,NULL
8,Who can open this file?,NULL,13/12/2019,NULL,1,4,0,Users for PDF.,User,NULL,NULL,NULL,NULL
9,Application of the EUROPLUS?,NULL,14/12/2019,NULL,4,1,0,dfdf,"sd,dsd",NULL,NULL,NULL,NULL
10,Words Just Say no,NULL,16/12/2019,NULL,1,6,0,Election Results,resultsedition,NULL,NULL,NULL,NULL
11,what does the file display?,NULL,16/12/2019,NULL,1,4,0,regarding fonts,"fonts,graphics",NULL,NULL,NULL,NULL
12,About downloads,NULL,17/12/2019,NULL,5,4,0,download,acrobat,NULL,NULL,NULL,NULL
13,about downloads,NULL,17/12/2019,NULL,5,4,0,download,downloads,NULL,NULL,NULL,NULL
14,ANCA Features?,NULL,17/12/2019,NULL,4,1,0,sdsd,"asas,asas",NULL,NULL,NULL,NULL
15,Acrobat files,NULL,20/12/2019,NULL,5,4,0,files,file,NULL,NULL,NULL,NULL
16,How is stem cell fate and behavior regulated by the niche,NULL,20/12/2019,NULL,5,9,0,Stem cell fate and behaviour,stemcell,NULL,NULL,NULL,NULL
17,About tissues and stem cells,NULL,20/12/2019,NULL,5,9,0,Stem cells,"stemcells,tissues",NULL,NULL,NULL,NULL
18,Fixed stem position,NULL,20/12/2019,NULL,5,9,0,Stem positions,"GSC,SIC,ISC",NULL,NULL,NULL,NULL
19,Question about tissues,NULL,20/12/2019,NULL,5,9,0,Tissues Discription,mammalian,NULL,NULL,NULL,NULL
20,what is homeostasis,NULL,08/01/2020,NULL,5,9,0,homeostasis,homeostasis,NULL,NULL,NULL,NULL
21,about PDF,NULL,08/01/2020,NULL,5,14,0,to know what is pdf,pdf,NULL,NULL,NULL,NULL
22,what is cellular niche?,NULL,08/01/2020,NULL,5,9,0,cellular niche components,"cellularniche,stemcells",NULL,NULL,NULL,NULL
23,what is mammalian ISC?,NULL,08/01/2020,NULL,5,9,0,mammalian ISC,"cellularniche,stemcells,GSC",NULL,NULL,NULL,NULL
24,WHAT IS A QUESTION,NULL,08/01/2020,NULL,5,15,0,what is a Note,AddTags,NULL,NULL,NULL,NULL
25,NULL,NULL,09/01/2020,NULL,5,9,0,NULL,0,NULL,NULL,NULL,NULL
26,what is PDF file?,NULL,09/01/2020,NULL,5,14,0,Get knowledge on PDF Doc,PDF,NULL,NULL,NULL,NULL
27,what is PDF file?,NULL,09/01/2020,NULL,5,14,0,Get knowledge on PDF Doc,PDF,NULL,NULL,NULL,NULL
28,what is PDF file?,NULL,09/01/2020,NULL,5,14,0,Get knowledge on PDF Doc,PDF,NULL,NULL,NULL,NULL
29,what is PDF file?,NULL,09/01/2020,NULL,5,14,0,Get knowledge on PDF Doc,PDF,NULL,NULL,NULL,NULL
30,what is a TA?,NULL,09/01/2020,NULL,5,15,0,NULL,0,NULL,NULL,NULL,NULL
31,Acrobat reader,NULL,09/01/2020,NULL,5,14,0,NULL,0,NULL,NULL,NULL,NULL
32,Acrobat reader,NULL,09/01/2020,NULL,5,14,0,sdfdsf,sdf,1,NULL,NULL,NULL
33,Acrobat reader,NULL,09/01/2020,NULL,5,14,0,sdfdsf,sdf,1,NULL,NULL,NULL
34,What is the full form of PDF?,NULL,09/01/2020,NULL,5,14,0,PDF,0,NULL,NULL,NULL,NULL
35,What is the full form of PDF?,NULL,09/01/2020,NULL,5,14,0,PDF,0,NULL,NULL,NULL,NULL
36,NULL,NULL,09/01/2020,NULL,5,21,0,NULL,0,1,NULL,NULL,NULL
37,Sample PDF,NULL,09/01/2020,NULL,5,21,0,NULL,0,1,NULL,NULL,NULL
38,NULL,NULL,09/01/2020,NULL,5,21,0,NULL,0,1,NULL,NULL,NULL
39,Main Document,NULL,09/01/2020,NULL,5,21,0,Document,document,1,NULL,NULL,NULL
40,NULL,NULL,09/01/2020,NULL,5,21,0,NULL,0,1,NULL,NULL,NULL
41,NULL,NULL,09/01/2020,NULL,5,21,0,NULL,0,NULL,NULL,NULL,NULL
42,Hyperlinks of pdf,NULL,09/01/2020,NULL,5,21,0,Hyperlink,0,1,NULL,NULL,NULL
43,What is trail version IP?,NULL,09/01/2020,NULL,5,16,0,IP No,0,1,NULL,NULL,NULL
44,NULL,NULL,09/01/2020,NULL,5,6,0,NULL,0,NULL,NULL,NULL,NULL
45,How to use the tools?,NULL,09/01/2020,NULL,5,21,0,Steps to use tools,learnsteps,NULL,NULL,NULL,NULL
46,what is this,NULL,10/01/2020,NULL,5,23,0,what is this note,Whatisaddtags,NULL,NULL,NULL,NULL
47,How to complie a .tex file?,NULL,11/01/2020,NULL,6,26,0,Compilation Note,Compilationtag,NULL,NULL,NULL,NULL
48,What is M.R.R Pharmacy?,NULL,13/01/2020,NULL,7,27,0,Pharmacy,0,NULL,NULL,NULL,NULL
49,how to use actol drug?,NULL,13/01/2020,NULL,7,27,0,NULL,0,1,NULL,NULL,NULL
50,NULL,NULL,13/01/2020,NULL,7,28,0,NULL,0,NULL,NULL,NULL,NULL
51,Address of M.R.R,NULL,14/01/2020,NULL,7,27,0,NULL,0,NULL,NULL,NULL,NULL
52,How to complie a .tex file?,NULL,14/01/2020,NULL,7,31,0,Refer,0,1,NULL,NULL,NULL
53,How to complie a .tex file?,NULL,14/01/2020,NULL,7,31,0,Refer,0,NULL,NULL,NULL,NULL
54,How to complie a .tex file?,NULL,14/01/2020,NULL,7,31,0,Refer,0,NULL,NULL,NULL,NULL
55,How to use the tools?,NULL,14/01/2020,NULL,7,31,0,Useful,0,NULL,NULL,NULL,NULL
56,Explain steps to use tools?,NULL,14/01/2020,NULL,7,31,0,notes,0,NULL,NULL,NULL,NULL
57,spell-checking,NULL,14/01/2020,NULL,7,31,0,NULL,0,NULL,NULL,NULL,NULL
58,What is DCA?,NULL,16/01/2020,NULL,8,34,0,DCA,0,NULL,NULL,NULL,NULL
59,Address of NRI?,NULL,16/01/2020,NULL,7,36,0,NULL,0,NULL,NULL,NULL,NULL
60,Example for Incorrect Sentence using a and an,NULL,16/01/2020,NULL,6,24,0,Use a and an,"a,an",NULL,NULL,NULL,NULL
61,NULL,NULL,16/01/2020,NULL,6,24,0,NULL,0,NULL,NULL,NULL,NULL
62,Bug #6220 WHAT IS THIS,NULL,17/01/2020,NULL,13,40,0,DG DFGSDFH FGHJFJT DRTFHSADTR FTRFGHTJH FTGHJGFJ FTGHJSJ HKDTGYHKJS DRHURFTJUH FTSJRJ DSRFTSJ TRJ ADFRSUJFGJ DFTGHFKJFGG ZDGHJFGHKJGKDTHEDR FYGJGHFKJGCKH,0,NULL,NULL,NULL,NULL
63,Bug #6220 there were,NULL,17/01/2020,NULL,13,40,0,There were scientists in our country and in greece before 500 bc ,0,NULL,NULL,NULL,NULL
64,spell check,NULL,17/01/2020,NULL,6,26,0,"Do use a spell-checker,please    you may also want to check grammar, Style and so on.",0,NULL,NULL,NULL,NULL
65,NULL,NULL,17/01/2020,NULL,7,42,0,NULL,0,NULL,NULL,NULL,NULL
66,clinical presentation and missing diagnosis?,NULL,18/01/2020,NULL,15,44,0,BD clinical studies,"Bipolar,EOBD,LOBD",NULL,NULL,NULL,NULL
67,trail nala,NULL,20/01/2020,NULL,13,45,0,trail nala,0,NULL,NULL,NULL,NULL
68,trail nala1,NULL,20/01/2020,NULL,13,45,0,trail nala1,0,NULL,NULL,NULL,NULL
69,trail nala2,NULL,20/01/2020,NULL,13,45,0,trail nala2,0,NULL,NULL,NULL,NULL
70,trail nala3,NULL,20/01/2020,NULL,13,45,0,trail nala3,0,NULL,NULL,NULL,NULL
71,trail nala4,NULL,20/01/2020,NULL,13,45,0,trail nala4,0,NULL,NULL,NULL,NULL
72,text before a consonent,NULL,21/01/2020,NULL,6,24,0,consonents,consonents,NULL,NULL,NULL,NULL
73,where is sri balaji dental located?,NULL,22/01/2020,NULL,6,65,0,give correct answer,Yes,NULL,NULL,NULL,NULL
74,notes,NULL,22/01/2020,NULL,7,36,0,NULL,0,NULL,NULL,NULL,NULL
75,notes,NULL,22/01/2020,NULL,7,36,0,NULL,0,NULL,NULL,NULL,NULL
76,Nursing hospital name,NULL,23/01/2020,NULL,7,73,0,maintain with name,"tagshospitaldetails,tagnursedetails",NULL,NULL,NULL,NULL
77,Testing,NULL,23/01/2020,NULL,5,71,0,Testing,Testing,NULL,NULL,NULL,NULL
78,Interactive Software federation of Europe,NULL,23/01/2020,NULL,5,75,0,Interactive Software federation of Europe,asa,NULL,NULL,NULL,NULL
79,What is main documents?,NULL,23/01/2020,NULL,7,77,0,notes,tags,NULL,NULL,NULL,NULL
80,what is spell checking?,NULL,23/01/2020,NULL,7,77,0,notes,tags,NULL,NULL,NULL,NULL
81,LAREX AND TRAIL X CAPABILITIES,NULL,23/01/2020,NULL,7,77,0,notes,tags,NULL,NULL,NULL,NULL
82,Success Story in South Africa,NULL,24/01/2020,NULL,6,78,0,South Africa,africa,NULL,NULL,NULL,NULL
83,jhbjhbkj,NULL,25/01/2020,NULL,13,45,0,NULL,0,NULL,NULL,NULL,NULL
84,dsjbfdjh,NULL,25/01/2020,NULL,13,45,0,sahdbsajbh,shbdsk,NULL,NULL,NULL,NULL
85,MRI,NULL,28/01/2020,NULL,21,97,0,Article MRI,MRI,NULL,NULL,NULL,NULL
86,professional data,NULL,28/01/2020,NULL,21,100,0,Article,artcle,1,NULL,NULL,NULL
87,department of general,NULL,28/01/2020,NULL,21,100,0,article 1,article2,NULL,NULL,NULL,NULL
88,MI institute,NULL,28/01/2020,NULL,21,100,0,Institute,0,NULL,NULL,NULL,NULL
89,M.R.R ,NULL,28/01/2020,NULL,21,104,0,Notes,0,NULL,NULL,NULL,NULL
90,ADDRESS OF UNIVERSITY,NULL,28/01/2020,NULL,21,112,0,NULL,0,NULL,NULL,NULL,NULL
91,ADDRESS OF UNIVERSITY,NULL,28/01/2020,NULL,21,112,0,NULL,0,NULL,NULL,NULL,NULL
92,ADDRESS OF UNIVERSITY,NULL,28/01/2020,NULL,21,112,0,RFDG,FDDF,NULL,NULL,NULL,NULL
93,ADDRESS OF UNIVERSITY,NULL,28/01/2020,NULL,21,112,0,RFDG,FDDF,NULL,NULL,NULL,NULL
94,ADRRESS OF VRK COLLEAGE,NULL,28/01/2020,NULL,21,112,0,NULL,0,NULL,NULL,NULL,NULL
95,TA,NULL,28/01/2020,NULL,21,41,0,NULL,0,NULL,NULL,NULL,NULL
96,Telugu acedmy,NULL,28/01/2020,NULL,21,41,0,NULL,0,NULL,NULL,NULL,NULL
97,Telugu acedmy,NULL,28/01/2020,NULL,21,41,0,Telugu,telugu,NULL,NULL,NULL,NULL
